date,home_team,away_team,score,xg_home,xg_away,attendance,venue,match_report_url
2025-05-17,Málaga,Sporting Gijón,2–1,,,23754,Estadio La Rosaleda,
2025-05-18,Racing Ferrol,Cádiz,1–0,,,3067,Estadio Municipal de A Malata,
2025-05-18,Oviedo,Zaragoza,1–0,,,23099,Estadio Nuevo Carlos Tartiere,
2025-05-18,Castellón,Eldense,1–1,,,13618,Estadio SkyFi Castalia,
2025-05-18,Almería,Racing Sant,2–0,,,12957,UD Almería Stadium,
2025-05-19,Córdoba,CD Mirandés,1–2,,,15229,Estadio Nuevo Arcángel,
2025-05-24,Albacete,Racing Ferrol,2–0,,,6972,Estadio Carlos Belmonte,
2025-05-25,Tenerife,Oviedo,0–1,,,9651,Estadio Heliodoro Rodríguez Lopéz,
2025-05-25,Sporting Gijón,Cartagena,3–2,,,18804,Estadio Municipal El Molinón,
2025-05-25,Cádiz,Huesca,4–0,,,11337,Estadio Nuevo Mirandilla,
2025-05-25,Eibar,Córdoba,4–1,,,4467,Estadio Municipal de Ipurúa,
2025-05-25,Burgos,Levante,2–3,,,11023,Estadio Municipal de El Plantío,
2025-05-25,CD Mirandés,Almería,0–0,,,5122,Estadio Municipal de Anduva,
2025-05-25,Granada,Castellón,2–1,,,16512,Estadio Nuevo Los Cármenes,
2025-05-25,Eldense,Racing Sant,3–3,,,5616,Estadio Municipal Nuevo Pepico Amat,
2025-05-25,Zaragoza,Dep La Coruña,1–0,,,24007,Estadio de la Romareda,
2025-05-25,Elche,Málaga,2–0,,,25914,Estadio Manuel Martínez Valero,
2025-05-30,Castellón,Zaragoza,4–1,,,10938,Estadio SkyFi Castalia,
2025-05-31,Racing Ferrol,Sporting Gijón,0–2,,,3773,Estadio Municipal de A Malata,
2025-05-31,Málaga,Burgos,2–2,,,19337,Estadio La Rosaleda,
2025-06-01,Oviedo,Cádiz,2–1,,,29418,Estadio Nuevo Carlos Tartiere,
2025-06-01,Huesca,Eldense,3–2,,,5010,Estadio El Alcoraz,
2025-06-01,Dep La Coruña,Elche,0–4,,,19329,Estadio Abanca-Riazor,
2025-06-01,Almería,Tenerife,2–0,,,14347,UD Almería Stadium,
2025-06-01,Racing Sant,Granada,2–1,,,22298,Campos de Sport de El Sardinero,
2025-06-01,Levante,Eibar,1–0,,,22624,Estadio Ciudad de Valencia,
2025-06-01,Cartagena,CD Mirandés,1–3,,,2743,Estadio Municipal Cartagonova,
2025-06-01,Córdoba,Albacete,1–1,,,11586,Estadio Nuevo Arcángel,
2025-06-07,Almería,Oviedo,1–2,,,14895,UD Almería Stadium,
2025-06-08,Racing Sant,CD Mirandés,3–3,,,22394,Campos de Sport de El Sardinero,
2025-06-11,Oviedo,Almería,1–1,,,25921,Estadio Nuevo Carlos Tartiere,
2025-06-12,CD Mirandés,Racing Sant,4–1,,,5345,Estadio Municipal de Anduva,
2025-06-15,CD Mirandés,Oviedo,1–0,,,5409,Estadio Municipal de Anduva,
2025-06-21,Oviedo,CD Mirandés,3–1,,,29624,Estadio Nuevo Carlos Tartiere,
