date,home_team,away_team,score,xg_home,xg_away,attendance,venue,match_report_url
2024-12-13,Almería,CD Mirandés,1–0,,,11500,UD Almería Stadium,
2024-12-14,Levante,Córdoba,2–2,,,13133,Estadio Ciudad de Valencia,
2024-12-14,Cádiz,Albacete,1–0,,,12847,Estadio Nuevo Mirandilla,
2024-12-14,Castellón,Cartagena,4–1,,,9863,Estadio SkyFi Castalia,
2024-12-14,Eldense,Elche,0–0,,,3802,Estadio Municipal Nuevo Pepico Amat,
2024-12-14,Eibar,Zaragoza,2–1,,,4779,Estadio Municipal de Ipurúa,
2024-12-14,Oviedo,Granada,2–0,,,17421,Estadio Nuevo Carlos Tartiere,
2024-12-15,Sporting Gijón,Racing Ferrol,1–3,,,20079,Estadio Municipal El Molinón,
2024-12-15,Burgos,Málaga,0–0,,,8540,Estadio Municipal de El Plantío,
2024-12-15,Racing Sant,Huesca,0–1,,,17115,Campos de Sport de El Sardinero,
2024-12-17,Granada,Cartagena,4–1,,,12536,Estadio Nuevo Los Cármenes,
2024-12-17,Albacete,Levante,0–0,,,8860,Estadio Carlos Belmonte,
2024-12-17,Córdoba,Eibar,2–1,,,15633,Estadio Nuevo Arcángel,
2024-12-17,Zaragoza,Oviedo,2–3,,,12813,Estadio de la Romareda,
2024-12-18,Racing Ferrol,Almería,1–4,,,5346,Estadio Municipal de A Malata,
2024-12-18,CD Mirandés,Sporting Gijón,1–1,,,3291,Estadio Municipal de Anduva,
2024-12-18,Málaga,Eldense,3–0,,,21123,Estadio La Rosaleda,
2024-12-19,Cádiz,Burgos,1–1,,,13200,Estadio Nuevo Mirandilla,
2024-12-19,Elche,Racing Sant,3–0,,,15292,Estadio Manuel Martínez Valero,
2024-12-19,Dep La Coruña,Castellón,5–1,,,16890,Estadio Abanca-Riazor,
2024-12-19,Huesca,Tenerife,1–0,,,4638,Estadio El Alcoraz,
2024-12-20,Cartagena,Albacete,0–0,,,4976,Estadio Municipal Cartagonova,
2024-12-21,Eibar,Granada,1–1,,,4140,Estadio Municipal de Ipurúa,
2024-12-21,Oviedo,Córdoba,2–3,,,20043,Estadio Nuevo Carlos Tartiere,
2024-12-21,Zaragoza,Racing Ferrol,1–0,,,17005,Estadio de la Romareda,
2024-12-21,Sporting Gijón,Málaga,1–3,,,21146,Estadio Municipal El Molinón,
2024-12-22,Burgos,Tenerife,1–0,,,8501,Estadio Municipal de El Plantío,
2024-12-22,Castellón,Elche,0–2,,,11901,Estadio SkyFi Castalia,
2024-12-22,Almería,Cádiz,1–1,,,13548,UD Almería Stadium,
2024-12-22,Racing Sant,Eldense,2–2,,,17836,Campos de Sport de El Sardinero,
2024-12-22,Levante,Huesca,1–1,,,14738,Estadio Ciudad de Valencia,
2024-12-22,Dep La Coruña,CD Mirandés,0–4,,,23812,Estadio Abanca-Riazor,
2025-01-07,Tenerife,Levante,0–3,,,11904,Estadio Heliodoro Rodríguez Lopéz,
2025-01-10,Granada,Burgos,0–0,,,13758,Estadio Nuevo Los Cármenes,
2025-01-11,Racing Ferrol,Cartagena,0–0,,,6107,Estadio Municipal de A Malata,
2025-01-11,Huesca,CD Mirandés,1–0,,,6409,Estadio El Alcoraz,
2025-01-11,Albacete,Racing Sant,2–2,,,10261,Estadio Carlos Belmonte,
2025-01-11,Tenerife,Castellón,2–0,,,12876,Estadio Heliodoro Rodríguez Lopéz,
2025-01-11,Málaga,Dep La Coruña,1–1,,,27281,Estadio La Rosaleda,
2025-01-11,Oviedo,Sporting Gijón,1–1,,,28123,Estadio Nuevo Carlos Tartiere,
2025-01-12,Córdoba,Almería,0–3,,,17897,Estadio Nuevo Arcángel,
2025-01-12,Elche,Zaragoza,1–0,,,20081,Estadio Manuel Martínez Valero,
2025-01-12,Cádiz,Levante,0–0,,,15096,Estadio Nuevo Mirandilla,
2025-01-13,Eldense,Eibar,1–3,,,3846,Estadio Municipal Nuevo Pepico Amat,
2025-01-17,Cartagena,Oviedo,0–1,,,3690,Estadio Municipal Cartagonova,
2025-01-18,Eldense,Cádiz,1–4,,,4045,Estadio Municipal Nuevo Pepico Amat,
2025-01-18,Sporting Gijón,Elche,1–1,,,21372,Estadio Municipal El Molinón,
2025-01-18,Eibar,Albacete,1–1,,,5308,Estadio Municipal de Ipurúa,
2025-01-18,Levante,Granada,3–1,,,14377,Estadio Ciudad de Valencia,
2025-01-19,Burgos,Dep La Coruña,0–1,,,11050,Estadio Municipal de El Plantío,
2025-01-19,Racing Sant,Racing Ferrol,6–0,,,19764,Campos de Sport de El Sardinero,
2025-01-19,Castellón,Córdoba,1–2,,,10689,Estadio SkyFi Castalia,
2025-01-19,Zaragoza,Tenerife,2–2,,,18509,Estadio de la Romareda,
2025-01-19,Almería,Huesca,0–0,,,9723,UD Almería Stadium,
2025-01-20,CD Mirandés,Málaga,3–2,,,3073,Estadio Municipal de Anduva,
2025-01-24,Elche,Eibar,2–0,,,18211,Estadio Manuel Martínez Valero,
2025-01-25,Córdoba,Racing Sant,1–2,,,15594,Estadio Nuevo Arcángel,
2025-01-25,Huesca,Cartagena,4–0,,,5706,Estadio El Alcoraz,
2025-01-25,Dep La Coruña,Levante,1–2,,,22397,Estadio Abanca-Riazor,
2025-01-25,Tenerife,Eldense,0–1,,,14992,Estadio Heliodoro Rodríguez Lopéz,
2025-01-26,Granada,Sporting Gijón,3–1,,,15450,Estadio Nuevo Los Cármenes,
2025-01-26,Oviedo,Castellón,1–0,,,21122,Estadio Nuevo Carlos Tartiere,
2025-01-26,Albacete,Almería,2–1,,,10936,Estadio Carlos Belmonte,
2025-01-26,Málaga,Zaragoza,1–2,,,26531,Estadio La Rosaleda,
2025-01-27,Cádiz,CD Mirandés,3–1,,,12023,Estadio Nuevo Mirandilla,
2025-01-29,Tenerife,Dep La Coruña,0–0,,,11214,Estadio Heliodoro Rodríguez Lopéz,
2025-01-31,Eldense,Granada,0–3,,,4294,Estadio Municipal Nuevo Pepico Amat,
2025-02-01,CD Mirandés,Elche,3–0,,,3486,Estadio Municipal de Anduva,
2025-02-01,Sporting Gijón,Burgos,2–0,,,20308,Estadio Municipal El Molinón,
2025-02-01,Almería,Oviedo,1–1,,,12081,UD Almería Stadium,
2025-02-01,Racing Sant,Málaga,2–1,,,21872,Campos de Sport de El Sardinero,
2025-02-02,Castellón,Huesca,0–1,,,10429,Estadio SkyFi Castalia,
2025-02-02,Eibar,Dep La Coruña,0–1,,,6102,Estadio Municipal de Ipurúa,
2025-02-02,Cartagena,Córdoba,0–1,,,5423,Estadio Municipal Cartagonova,
2025-02-02,Zaragoza,Cádiz,0–0,,,19555,Estadio de la Romareda,
2025-02-02,Tenerife,Albacete,3–1,,,12005,Estadio Heliodoro Rodríguez Lopéz,
2025-02-03,Levante,Racing Ferrol,0–1,,,13464,Estadio Ciudad de Valencia,
2025-02-07,Albacete,Zaragoza,2–1,,,8887,Estadio Carlos Belmonte,
2025-02-08,Racing Ferrol,Castellón,1–3,,,6381,Estadio Municipal de A Malata,
2025-02-08,Granada,CD Mirandés,0–0,,,15823,Estadio Nuevo Los Cármenes,
2025-02-08,Málaga,Levante,1–1,,,24512,Estadio La Rosaleda,
2025-02-08,Sporting Gijón,Eibar,0–0,,,21558,Estadio Municipal El Molinón,
2025-02-09,Elche,Tenerife,2–0,,,20366,Estadio Manuel Martínez Valero,
2025-02-09,Córdoba,Huesca,1–2,,,16278,Estadio Nuevo Arcángel,
2025-02-09,Burgos,Racing Sant,2–1,,,10564,Estadio Municipal de El Plantío,
2025-02-09,Cádiz,Cartagena,5–2,,,15612,Estadio Nuevo Mirandilla,
2025-02-09,Dep La Coruña,Almería,3–1,,,22217,Estadio Abanca-Riazor,
2025-02-10,Oviedo,Eldense,0–0,,,17066,Estadio Nuevo Carlos Tartiere,
2025-02-14,CD Mirandés,Racing Ferrol,4–1,,,4006,Estadio Municipal de Anduva,
2025-02-15,Castellón,Eibar,2–0,,,10075,Estadio SkyFi Castalia,
2025-02-15,Cartagena,Málaga,0–1,,,4739,Estadio Municipal Cartagonova,
2025-02-15,Racing Sant,Cádiz,2–3,,,21894,Campos de Sport de El Sardinero,
2025-02-15,Tenerife,Córdoba,2–3,,,12667,Estadio Heliodoro Rodríguez Lopéz,
2025-02-16,Levante,Sporting Gijón,0–0,,,16906,Estadio Ciudad de Valencia,
2025-02-16,Huesca,Granada,1–1,,,7427,Estadio El Alcoraz,
2025-02-16,Eldense,Dep La Coruña,2–0,,,4718,Estadio Municipal Nuevo Pepico Amat,
2025-02-16,Zaragoza,Burgos,0–1,,,20507,Estadio de la Romareda,
2025-02-16,Oviedo,Albacete,1–0,,,16888,Estadio Nuevo Carlos Tartiere,
2025-02-17,Almería,Elche,1–1,,,11531,UD Almería Stadium,
2025-02-21,Málaga,Tenerife,1–0,,,24916,Estadio La Rosaleda,
2025-02-22,Racing Ferrol,Córdoba,0–1,,,5252,Estadio Municipal de A Malata,
2025-02-22,Burgos,Oviedo,1–2,,,11156,Estadio Municipal de El Plantío,
2025-02-22,Eibar,Racing Sant,2–2,,,6307,Estadio Municipal de Ipurúa,
2025-02-22,Granada,Zaragoza,2–2,,,15266,Estadio Nuevo Los Cármenes,
2025-02-22,Sporting Gijón,Almería,1–1,,,20046,Estadio Municipal El Molinón,
2025-02-23,Dep La Coruña,Huesca,0–0,,,20714,Estadio Abanca-Riazor,
2025-02-23,Elche,Cartagena,2–1,,,19514,Estadio Manuel Martínez Valero,
2025-02-23,Levante,CD Mirandés,1–0,,,14857,Estadio Ciudad de Valencia,
2025-02-23,Albacete,Eldense,0–1,,,11719,Estadio Carlos Belmonte,
2025-02-23,Cádiz,Castellón,0–0,,,14989,Estadio Nuevo Mirandilla,
2025-02-28,Cartagena,Eibar,0–2,,,2788,Estadio Municipal Cartagonova,
2025-03-01,Castellón,Burgos,2–1,,,9865,Estadio SkyFi Castalia,
2025-03-01,Huesca,Racing Ferrol,3–1,,,5944,Estadio El Alcoraz,
2025-03-01,Zaragoza,Sporting Gijón,1–1,,,16864,Estadio de la Romareda,
2025-03-01,Almería,Málaga,2–2,,,11202,UD Almería Stadium,
2025-03-02,Córdoba,Granada,5–0,,,16879,Estadio Nuevo Arcángel,
2025-03-02,Oviedo,Dep La Coruña,1–2,,,25081,Estadio Nuevo Carlos Tartiere,
2025-03-02,Albacete,Cádiz,3–0,,,6923,Estadio Carlos Belmonte,
2025-03-02,Eldense,Levante,1–2,,,5327,Estadio Municipal Nuevo Pepico Amat,
2025-03-02,Racing Sant,Elche,2–0,,,20134,Campos de Sport de El Sardinero,
2025-03-03,CD Mirandés,Tenerife,2–0,,,3374,Estadio Municipal de Anduva,
2025-03-05,Racing Ferrol,Burgos,0–1,,,4484,Estadio Municipal de A Malata,
2025-03-07,Eibar,Almería,1–0,,,5194,Estadio Municipal de Ipurúa,
2025-03-07,Dep La Coruña,Córdoba,1–1,,,20475,Estadio Abanca-Riazor,
2025-03-08,CD Mirandés,Oviedo,1–0,,,4378,Estadio Municipal de Anduva,
2025-03-08,Elche,Castellón,3–1,,,17001,Estadio Manuel Martínez Valero,
2025-03-08,Sporting Gijón,Racing Sant,1–1,,,23678,Estadio Municipal El Molinón,
2025-03-08,Zaragoza,Eldense,2–4,,,10784,Estadio de la Romareda,
2025-03-09,Tenerife,Huesca,2–0,,,8184,Estadio Heliodoro Rodríguez Lopéz,
2025-03-09,Málaga,Cádiz,0–2,,,20857,Estadio La Rosaleda,
2025-03-09,Levante,Cartagena,3–0,,,14367,Estadio Ciudad de Valencia,
2025-03-09,Granada,Racing Ferrol,3–0,,,6143,Estadio Nuevo Los Cármenes,
2025-03-10,Burgos,Albacete,1–0,,,8653,Estadio Municipal de El Plantío,
2025-03-14,Oviedo,Elche,1–1,,,18750,Estadio Nuevo Carlos Tartiere,
2025-03-15,Racing Ferrol,Eibar,0–0,,,4287,Estadio Municipal de A Malata,
2025-03-15,Cartagena,Burgos,0–1,,,2475,Estadio Municipal Cartagonova,
2025-03-15,Albacete,Málaga,2–0,,,9754,Estadio Carlos Belmonte,
2025-03-15,Almería,Zaragoza,4–1,,,10867,UD Almería Stadium,
2025-03-15,Córdoba,Sporting Gijón,1–1,,,16319,Estadio Nuevo Arcángel,
2025-03-16,Eldense,CD Mirandés,2–2,,,4931,Estadio Municipal Nuevo Pepico Amat,
2025-03-16,Racing Sant,Tenerife,2–1,,,20324,Campos de Sport de El Sardinero,
2025-03-16,Huesca,Levante,1–2,,,6833,Estadio El Alcoraz,
